obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
248,1813-07-29 10:57:39.000,,t,in,TRUE,TRUE,N
248,1813-07-29 10:59:08.500,,t,out,TRUE,TRUE,N
248,1813-07-29 10:59:53.000,,S,out,TRUE,TRUE,N
249,1813-07-29 11:01:49.000,,S,in,TRUE,TRUE,N
249,1813-07-29 11:03:26.000,,t,in,TRUE,TRUE,N
249,1813-07-29 11:04:54.000,,t,out,TRUE,TRUE,N
249,1813-07-29 11:05:39.000,,S,out,TRUE,TRUE,N
250,1813-08-02 06:12:40.000,,S,in,TRUE,TRUE,N
250,1813-08-02 06:13:02.000,,t,in,TRUE,TRUE,N
250,1813-08-02 06:14:42.000,,t,out,TRUE,TRUE,N
250,1813-08-02 06:16:29.000,,S,out,TRUE,TRUE,N
251,1813-08-02 06:26:42.500,,S,in,TRUE,TRUE,N
251,1813-08-02 06:27:03.000,,t,in,TRUE,TRUE,N
251,1813-08-02 06:28:45.000,,t,out,TRUE,TRUE,N
251,1813-08-02 06:30:31.750,,S,out,TRUE,TRUE,N
252,1813-08-03 06:24:23.000,,S,in,TRUE,TRUE,N
252,1813-08-03 06:24:35.000,,t,in,TRUE,TRUE,N
252,1813-08-03 06:26:17.000,,t,out,TRUE,TRUE,N
252,1813-08-03 06:28:10.000,,S,out,TRUE,TRUE,N
253,1813-08-03 06:41:52.000,,S,in,TRUE,TRUE,N
253,1813-08-03 06:42:04.000,,t,in,TRUE,TRUE,N
253,1813-08-03 06:43:48.500,,t,out,TRUE,TRUE,N
253,1813-08-03 06:45:41.000,,S,out,TRUE,TRUE,N
254,1813-09-26 13:21:04.500,1813-09-26 13:22:04.500,S,in,FALSE,TRUE,N
254,1813-09-26 13:22:33.500,,t_1,in,FALSE,TRUE,N
254,1813-09-26 13:23:36.000,,t_2,in,FALSE,TRUE,N
254,1813-09-26 13:23:48.000,,t_1,out,FALSE,TRUE,N
254,1813-09-26 13:24:49.000,,t_2,out,FALSE,TRUE,N
254,1813-09-26 13:25:43.000,,S,out,FALSE,TRUE,N
255,1813-09-26 13:26:38.000,,S,in,FALSE,TRUE,N
255,1813-09-26 13:27:09.500,,t_1,in,FALSE,TRUE,N
255,1813-09-26 13:28:10.000,,t_2,in,FALSE,TRUE,N
255,1813-09-26 13:28:21.000,,t_1,out,FALSE,TRUE,N
255,1813-09-26 13:29:22.000,,t_2,out,FALSE,TRUE,N
255,1813-09-26 13:30:16.500,,S,out,FALSE,TRUE,N
256,1813-09-28 15:08:03.000,,S,in,FALSE,TRUE,N
256,1813-09-28 15:10:03.000,1813-09-28 15:09:03.000,t_2,in,FALSE,TRUE,N
256,1813-09-28 15:11:27.000,1813-09-28 15:10:27.000,t_2,out,FALSE,TRUE,N
256,1813-09-28 15:11:42.000,,S,out,FALSE,TRUE,N
257,1813-09-28 15:17:06.000,,S,in,FALSE,TRUE,N
257,1813-09-28 15:17:15.000,,t_1,in,FALSE,TRUE,N
257,1813-09-28 15:18:03.000,,t_2,in,FALSE,TRUE,N
257,1813-09-28 15:18:38.000,,t_1,out,FALSE,TRUE,N
258,1813-09-28 15:23:29.500,,S,in,FALSE,TRUE,N
258,1813-09-28 15:23:38.000,,t_1,in,FALSE,TRUE,N
258,1813-09-28 15:24:27.000,,t_2,in,FALSE,TRUE,N
259,1813-10-02 15:41:17.500,,S,in,FALSE,TRUE,N
259,1813-10-02 15:41:26.000,,t_2,in,FALSE,TRUE,N
259,1813-10-02 15:42:16.000,1813-10-02 15:43:16.000,t_2,out,FALSE,TRUE,N
259,1813-10-02 15:45:57.000,1813-10-02 15:44:57.000,S,out,FALSE,TRUE,N
260,1813-10-02 15:50:25.000,,S,in,FALSE,TRUE,N
260,1813-10-02 15:50:33.500,,t_2,in,FALSE,TRUE,N
260,1813-10-02 15:52:24.000,,t_2,out,FALSE,TRUE,N
260,1813-10-02 15:54:05.000,,S,out,FALSE,TRUE,N
261,1813-10-09 15:20:23.000,,S,in,FALSE,TRUE,
261,1813-10-09 15:20:27.000,,t_1,in,FALSE,TRUE,
261,1813-10-09 15:20:56.000,,t_2,in,FALSE,TRUE,
261,1813-10-09 15:22:06.000,,t_2,out,FALSE,TRUE,
261,1813-10-09 15:22:14.000,,t_1,out,FALSE,TRUE,
261,1813-10-09 15:24:00.000,,S,out,FALSE,TRUE,
262,1813-10-09 15:29:20.000,,S,in,FALSE,TRUE,
262,1813-10-09 15:29:23.500,,t_1,in,FALSE,TRUE,
262,1813-10-09 15:29:53.500,,t_2,in,FALSE,TRUE,
262,1813-10-09 15:31:02.000,,t_2,in,FALSE,TRUE,
262,1813-10-09 15:31:10.500,,t_1,out,FALSE,TRUE,
262,1813-10-09 15:32:56.000,,S,out,FALSE,TRUE,
263,1813-12-12 17:07:35.000,1813-12-12 17:06:35.000,S,in,FALSE,TRUE,
263,1813-12-12 17:08:50.000,,t,in,FALSE,TRUE,
